Coaster,Park,City,State,Country,Type,Height,Speed,Length,Inversions,NumInversions,Duration,Opened,AgeGroup,Continent
Grottenblitz,Heide-Park Soltau,"Soltau, Lower Saxony",D,D,Steel,6,45,370,No,0,,1985,Newer,Europe
G'sengte Sau,Erlebnispark Tripsdrill,"Cleebronn, Baden Wuerttemberg",D,D,Steel,16,,480,No,0,,1998,Newer,Europe
Heiðe Fahrt,Wild- und Freizeitpark Klotten/Cochem,"Klotten, Rhineland-Palatinate",D,D,Steel,17.5,55,532,No,0,80,2004,Newest,Europe
Himalayabahn,Schwaben Park,"Kaisersbach, Baden Wuerttemberg",D,D,Steel,13.5,,460,No,0,,1989,Newer,Europe
Holzwurmachterbahn,Jaderpark,"Jaderberg, Lower Saxony",D,D,Steel,6,32,199,No,0,,1996,Newer,Europe
Indy-Blitz,Heide-Park Soltau,"Soltau, Lower Saxony",D,D,Steel,4.5,30,128,No,0,,2008,Newest,Europe
Jimmy Neutron's Atomic Flyer,Movie Park Germany,"Bottrop, North Rhine-Westphalia",D,D,Steel,13,,294,No,0,,2007,Newest,Europe
Limit,Heide-Park Soltau,"Soltau, Lower Saxony",D,D,Steel,33.3,80,689,Yes,5,96,1999,Newer,Europe
Mammut,Erlebnispark Tripsdrill,"Cleebronn, Baden Wuerttemberg",D,D,Wood,30,90,860,No,0,,2008,Newest,Europe
Marienkðferbahn,Zoo Safari- und Hollywoodpark Stukenbrock,"Stukenbrock, North Rhine-Westphalia",D,D,Steel,8,36,360,No,0,,1979,Oldest,Europe
Marienkðferbahn,Fort Fun Abenteuerland,"Wasserfall, North Rhine-Westphalia",D,D,Steel,8,36,360,No,0,65,1986,Newer,Europe
Marienkðfer Hochbahn,Churpfalzpark,"Loifling, Bavaria",D,D,Steel,3.3,26,60.2,No,0,,1983,Newer,Europe
Matterhorn Blitz,Europa Park,"Rust, Baden Wuerttemberg",D,D,Steel,16,56.3,383,No,0,185,1999,Newer,Europe
MP-Xpress,Movie Park Germany,"Bottrop, North Rhine-Westphalia",D,D,Steel,33.3,80,689,Yes,5,96,2001,Newest,Europe
Nessie Superrollercoaster,Hansa Park,"Sierksdorf, Schleswig-Holstein",D,D,Steel,26,79,741,Yes,1,130,1979,Oldest,Europe
Oachkatzl,Mðrchenwald im Isartal,"Wolfratshausen, Bavaria",D,D,Steel,10.5,46,290,No,0,,1999,Newer,Europe
Pegasus,Europa Park,"Rust, Baden Wuerttemberg",D,D,Steel,15,65,400,No,0,70,2006,Newest,Europe
Poseidon,Europa Park,"Rust, Baden Wuerttemberg",D,D,Steel,23,70,836,No,0,240,2000,Newest,Europe
Potts Blitz,Potts Park,"Minden, North Rhine-Westphalia",D,D,Steel,9,39,222,No,0,,1993,Newer,Europe
Project X - Test Strecke,Legoland Deutschland,"Gðnzburg, Bavaria",D,D,Steel,15.8,56,400,No,0,,2002,Newest,Europe
Rasender Roland,Hansa Park,"Sierksdorf, Schleswig-Holstein",D,D,Steel,16,50,522,No,0,70,1993,Newer,Europe
Rasender Tausendfððler,Erlebnispark Tripsdrill,"Cleebronn, Baden Wuerttemberg",D,D,Steel,8,36,360,No,0,,1986,Newer,Europe
Schmetterling,Lðtge Land,"Altfunnixsiel, Lower Saxony",D,D,Steel,6.1,,,No,0,,1991,Newer,Europe
Schmetterlings-Pendelbahn,Churpfalzpark,"Loifling, Bavaria",D,D,Steel,6.1,,,No,0,,1989,Newer,Europe
Schweizer Bobbahn,Europa Park,"Rust, Baden Wuerttemberg",D,D,Steel,19,50,487,No,0,105,1985,Newer,Europe
Schweizer Bobbahn,Heide-Park Soltau,"Soltau, Lower Saxony",D,D,Steel,27,53,990,No,0,100,1994,Newer,Europe
Silver Star,Europa Park,"Rust, Baden Wuerttemberg",D,D,Steel,73,127,1620,No,0,240,2002,Newest,Europe
Sky Wheel,Skyline Park,"Bad Wðrishofen, Bavaria",D,D,Steel,46,105,150,Yes,2,50,2004,Newest,Europe
Speedy,CentrO.Park,"Oberhausen, North Rhine-Westphalia",D,D,Steel,11.1,36,300,No,0,60,2001,Newest,Europe
Super Tornado,Zoo Safari- und Hollywoodpark Stukenbrock,"Stukenbrock, North Rhine-Westphalia",D,D,Steel,19.5,60,350,Yes,2,,1981,Newer,Europe
Super Wirbel,Holiday Park,"Hassloch, Rhineland-Palatinate",D,D,Steel,22.9,64.4,731.5,Yes,2,85,1979,Oldest,Europe
Taunusblitz,Taunus Wunderland,"Schlangenbad, Hesse",D,D,Steel,14,45,370,No,0,110,1999,Newer,Europe
Temple of the Night Hawk,Phantasialand,"Brðhl, North Rhine-Westphalia",D,D,Steel,,,1280,No,0,240,1988,Newer,Europe
Wilde Mini Maus,Lollihop,"Munich, Bavaria",D,D,Steel,3.5,25,60,No,0,,2007,Newest,Europe
Winjas,Phantasialand,"Brðhl, North Rhine-Westphalia",D,D,Steel,17.4,66,465,No,0,,2002,Newest,Europe
Wirbelwind,Fort Fun Abenteuerland,"Wasserfall, North Rhine-Westphalia",D,D,Steel,19.5,60,350,Yes,2,60,1982,Newer,Europe
