"","prices","beds","baths","sqft","zip","address"
"125",160000,2,1,1128," 54911","1115 N Morrison St, Appleton, WI 54911"
"126",290000,4,3,1826," 54915","3027 S Cypress St, Appleton, WI 54915"
"127",424900,3,3,1869," 54952","1786 Garnet Ct, Menasha, WI 54952"
"128",315600,9,5,3823," 54914","2220 W Charles St, Appleton, WI 54914"
"129",314900,6,4,3248," 54914","1923 W Jonathon Dr, Appleton, WI 54914"
"130",310000,3,2,1232," 54913","3029 E Broadway Dr, Appleton, WI 54913"
"131",186200,3,3,1538," 54911","815 E Windfield Pl, Appleton, WI 54911"
"132",235000,4,2,1750," 54911","614 N Appleton St, Appleton, WI 54911"
"133",247500,3,2,1488," 54915","721 E Maple St, Appleton, WI 54915"
"134",231000,4,2,1656," 54911","820 N Morrison St, Appleton, WI 54911"
"135",227500,4,2,1508," 54911","1409 N Graceland Ave, Appleton, WI 54911"
"136",329000,3,3,1728," 54911","1042 E Melrose Ave, Appleton, WI 54911"
"137",236000,3,1,1220," 54914","826 W 3rd St, Appleton, WI 54914"
"138",397500,4,3,2940," 54914","19 Meadowbrook Ct, Appleton, WI 54914"
"139",329000,4,2,2980," 54914","14 Meadowbrook Ct, Appleton, WI 54914"
"140",150000,2,1,1060," 54914","1441 S Van Dyke Rd APT 1J, Appleton, WI 54914"
"141",275000,4,3,2898," 54914","1517 S Riverdale Dr, Appleton, WI 54914"
"142",263000,4,1,1690," 54915","2412 S Greenview St, Appleton, WI 54915"
"143",236000,3,1,1404," 54914","720 W Commercial St, Appleton, WI 54914"
"144",315000,3,3,2374," 54914","1714 N Winesap Ln, Appleton, WI 54914"
"145",125000,3,1,1140," 54911","906 N Meade St, Appleton, WI 54911"
"146",170000,3,1,988," 54911","831 E Lindbergh St, Appleton, WI 54911"
"147",2e+05,2,1,888," 54915","501 S Telulah Ave, Appleton, WI 54915"
"148",135000,3,2,1457," 54915","1317 South Oneida STREET, Appleton, WI 54915"
"149",154000,4,2,1760," 54915","303 E Fremont St, Appleton, WI 54915"
"150",176500,2,2,1122," 54915","1001 S Oneida St APT 2F, Appleton, WI 54915"
"151",299900,4,2,2416," 54915","809 N Fernmeadow Dr, Appleton, WI 54915"
"152",211000,2,2,1116," 54915","1322 E Candee St, Appleton, WI 54915"
"153",270000,3,2,1942," 54915","830 S Christine St, Appleton, WI 54915"
"154",260000,3,2,1794," 54914","925 W Frances St, Appleton, WI 54914"
"155",248000,4,4,2240," 54914","1820 W Kamps Ave, Appleton, WI 54914"
"156",325000,3,2,1410," 54913","5001 N Applebend Dr, Appleton, WI 54913"
"157",340000,3,2,1631," 54913","4133 E Braeburn Dr, Appleton, WI 54913"
"158",228500,3,1.1,1286," 54911","1202 N Green Grove Rd, Appleton, WI 54911"
"159",215500,3,1,1344," 54915","1819 S Sanders St, Appleton, WI 54915"
"160",245000,3,1,1352," 54914","5415 Long Ct, Appleton, WI 54914"
"161",430000,6,4,3478," 54911","2718 N McDonald St, Appleton, WI 54911"
"162",251300,3,2,1320," 54915","157 W Seymour St, Appleton, WI 54915"
"163",220000,3,1,1120," 54915","121 S Schaefer St, Appleton, WI 54915"
"164",2e+05,4,2,1363," 54915","1905 South Adams STREET, Appleton, WI 54915"
"165",255000,3,3,1448," 54915","1714 S Willkie St, Appleton, WI 54915"
"166",257000,4,1.1,1920," 54915","20 N Linden Ln, Appleton, WI 54915"
"167",289900,4,3,2470," 54915","1017 N Bay Ridge Rd, Appleton, WI 54915"
"168",381000,4,3,2502," 54915","905 N Kensington Dr, Appleton, WI 54915"
"169",230000,4,2,1728," 54911","2325 N Ballard Rd, Appleton, WI 54911"
"170",285000,3,2,1620," 54911","213 W Lindbergh St, Appleton, WI 54911"
"171",399900,3,2,1610," 54913","2322 E Honeygold Ct, Appleton, WI 54913"
"172",409000,3,2,2200," 54914","27 Meadowbrook Ct, Appleton, WI 54914"
"173",305000,4,2,2333," 54911","2908 E Wisconsin Ave, Appleton, WI 54911"
"174",380000,3,3,2575," 54914","728 S Summit St, Appleton, WI 54914"
"175",235000,2,2,1505," 54915","1013 S West Ct APT A, Appleton, WI 54915"
"176",275000,3,2,1665," 54915","1113 South Schaefer STREET, Appleton, WI 54915"
"177",238000,4,2,1595," 54914","1709 W Reeve St, Appleton, WI 54914"
"178",347000,3,3,2210," 54911","2600 N McDonald St, Appleton, WI 54911"
"179",423750,4,2.1,2495," 54911","3519 N Racine St, Appleton, WI 54911"
"180",198000,4,2,1556," 54915","818 E Fremont St, Appleton, WI 54915"
"181",155000,5,2,1624," 54915","308 E Lincoln St, Appleton, WI 54915"
"182",203000,3,1,1183," 54915","300 S Lee St, Appleton, WI 54915"
"183",266777,3,2,2135," 54915","1013 S Fidelis St, Appleton, WI 54915"
"184",224900,3,2,1260," 54914","121 N Bennett St, Appleton, WI 54914"
"185",425000,3,2,1649," 54913","2985 E Bluetopaz Dr, Appleton, WI 54913"
"186",404900,3,2,1542," 54913","2284 E Honeygold Ct, Appleton, WI 54913"
"187",282500,4,2,907," 54914","4705 W Sunflower Rd, Appleton, WI 54914"
